test_name,planner_name,num_agents,planning_time,plan_cost,num_hl_expanded,num_hl_generated,num_ll_expanded,num_ll_generated,hl_focal_weight,ll_focal_weight,wastar_weight,num_collision_checks,description,stamp
test260,EAECBS_L2_HEURISTIC,2,1.25126,9.14553,3,6,145,-1,1.3,1.3,55,38245,from right_forward to right_push_up,2024-10-30T01:10:54
test261,EAECBS_L2_HEURISTIC,2,0.82368,9.37242,0,0,62,-1,1.3,1.3,55,18044,from right_forward to left_rotated,2024-10-30T01:11:03
test262,EAECBS_L2_HEURISTIC,2,0.321226,7.05113,0,0,35,-1,1.3,1.3,55,10246,from right_forward to right_rotated,2024-10-30T01:11:11
test263,EAECBS_L2_HEURISTIC,2,0.298597,8.18559,0,0,40,-1,1.3,1.3,55,11774,from right_forward to random1,2024-10-30T01:11:20
test264,EAECBS_L2_HEURISTIC,2,0.841662,8.98845,3,6,105,-1,1.3,1.3,55,28167,from right_forward to random2,2024-10-30T01:11:29
test265,EAECBS_L2_HEURISTIC,2,3.66938,12.3569,2,4,478,-1,1.3,1.3,55,105623,from right_forward to random3,2024-10-30T01:11:41
test266,EAECBS_L2_HEURISTIC,2,0.700693,11.6239,0,0,58,-1,1.3,1.3,55,16858,from right_forward to random4,2024-10-30T01:11:50
test267,EAECBS_L2_HEURISTIC,2,0.60179,13.3518,0,0,63,-1,1.3,1.3,55,18344,from right_forward to random5,2024-10-30T01:11:59
test268,EAECBS_L2_HEURISTIC,2,2.46081,16.2141,3,6,150,-1,1.3,1.3,55,43599,from right_forward to random6,2024-10-30T01:12:10
test269,EAECBS_L2_HEURISTIC,2,0.528833,8.88373,0,0,58,-1,1.3,1.3,55,17009,from right_forward to left_push_down,2024-10-30T01:12:18
test270,EAECBS_L2_HEURISTIC,2,0.247661,4.17134,0,0,21,-1,1.3,1.3,55,6182,from right_forward to right_push_down,2024-10-30T01:12:27
test271,EAECBS_L2_HEURISTIC,2,0.57255,12.1126,0,0,71,-1,1.3,1.3,55,20690,from right_forward to left_forward,2024-10-30T01:12:36
